review_id,company,category,rating,review_text,review_date,verified_purchase,helpful_votes,review_length
R00066,BankZen,Banque en ligne,4,"Parfait du début à la fin. L'application est fluide et intuitive. Rien à redire, je suis client fidèle maintenant.",2024-12-18,True,3,114
R00067,BankZen,Banque en ligne,3,Pas mal dans l'ensemble. Le prix est dans la moyenne du marché. Je verrai si je récidive.,2024-08-25,True,7,89
R00068,TechBox,E-commerce électronique,4,Une vraie bonne surprise ! Les frais de livraison sont raisonnables. Je le recommanderai à mes proches.,2025-04-01,True,13,103
R00069,TravelEase,Voyages et hôtellerie,4,"Super expérience, Le service client a répondu en moins d'une heure. Le service client est réactif et professionnel.",2024-05-12,True,8,115
R00070,TravelEase,Voyages et hôtellerie,4,"Parfait du début à la fin. Le service client a répondu en moins d'une heure. Rien à redire, je suis client fidèle maintenant.",2024-02-09,True,7,125
R00071,FoodDelivery,Livraison de repas,4,Très satisfait de mon achat. Le produit est de très bonne qualité. Je commanderai à nouveau sans hésiter.,2024-04-28,True,4,105
R00072,FashionLine,Mode et vêtements,1,Arnaque totale. Le service client ne répond jamais aux mails. N'achetez surtout pas chez eux.,2024-10-04,True,3,93
R00073,FashionLine,Mode et vêtements,5,Excellente qualité pour le prix. Les frais de livraison sont raisonnables. Je suis bluffé par la rapidité du service.,2025-03-26,True,12,117
R00074,BankZen,Banque en ligne,1,Pire expérience d'achat. Le service client ne répond jamais aux mails. Je vais signaler à la répression des fraudes.,2025-01-20,True,26,116
R00075,TravelEase,Voyages et hôtellerie,5,"Parfait du début à la fin. Le produit est de très bonne qualité. Rien à redire, je suis client fidèle maintenant.",2024-05-19,True,0,113
R00076,BankZen,Banque en ligne,4,Excellente qualité pour le prix. Les frais de livraison sont raisonnables. Je suis bluffé par la rapidité du service.,2024-08-27,False,0,117
R00077,BankZen,Banque en ligne,5,"Excellent service, je recommande vivement ! La livraison a été très rapide et le produit correspond parfaitement à la description.",2024-08-07,True,14,130
R00078,FashionLine,Mode et vêtements,1,Arnaque totale. Le service client ne répond jamais aux mails. N'achetez surtout pas chez eux.,2024-04-18,True,21,93
R00079,BankZen,Banque en ligne,3,Ça fait le job. Le produit fonctionne mais sans plus. On verra à la prochaine commande si je reviens.,2025-03-03,True,0,101
R00080,TravelEase,Voyages et hôtellerie,1,Pire expérience d'achat. Produit reçu cassé et remboursement refusé. Je vais signaler à la répression des fraudes.,2024-11-28,True,41,114
R00081,TechBox,E-commerce électronique,5,"Parfait du début à la fin. Les frais de livraison sont raisonnables. Rien à redire, je suis client fidèle maintenant.",2024-01-11,True,7,117
R00082,FashionLine,Mode et vêtements,4,Très satisfait de mon achat. Le service client a répondu en moins d'une heure. Je commanderai à nouveau sans hésiter.,2024-12-24,True,11,117
R00083,FashionLine,Mode et vêtements,5,"Très satisfait de mon achat. La livraison a été ultra rapide, en 24h. Je commanderai à nouveau sans hésiter.",2024-02-25,True,9,108
R00084,TravelEase,Voyages et hôtellerie,5,Excellente qualité pour le prix. L'application est fluide et intuitive. Je suis bluffé par la rapidité du service.,2024-04-11,True,7,114
R00085,TechBox,E-commerce électronique,5,Vraiment au top ! Les frais de livraison sont raisonnables. Merci pour cette belle expérience.,2024-10-16,False,11,94
R00086,TravelEase,Voyages et hôtellerie,4,"Rien à reprocher, tout s'est passé comme prévu. Le rapport qualité-prix est imbattable. Bravo à toute l'équipe.",2024-11-27,True,13,111
R00087,BankZen,Banque en ligne,2,Pire expérience d'achat. Description du produit complètement trompeuse. Je vais signaler à la répression des fraudes.,2025-04-01,False,45,117
R00088,FashionLine,Mode et vêtements,4,Vraiment au top ! Le service client a répondu en moins d'une heure. Merci pour cette belle expérience.,2024-08-11,False,8,102
R00089,FoodDelivery,Livraison de repas,5,Très satisfait de mon achat. Le service client a répondu en moins d'une heure. Je commanderai à nouveau sans hésiter.,2024-05-04,True,12,117
R00090,FoodDelivery,Livraison de repas,1,Pire expérience d'achat. Produit reçu cassé et remboursement refusé. Je vais signaler à la répression des fraudes.,2024-09-06,True,16,114
R00091,FoodDelivery,Livraison de repas,3,Bon rapport qualité-prix mais Le produit fonctionne mais sans plus. Quelques détails à améliorer.,2024-10-11,True,6,97
R00092,TechBox,E-commerce électronique,3,Ça fait le job. Le service client met du temps à répondre. On verra à la prochaine commande si je reviens.,2024-10-11,True,15,106
R00093,BankZen,Banque en ligne,4,"Excellent service, je recommande vivement ! La livraison a été très rapide et le produit correspond parfaitement à la description.",2024-04-23,True,7,130
R00094,FoodDelivery,Livraison de repas,5,"Rien à reprocher, tout s'est passé comme prévu. Le rapport qualité-prix est imbattable. Bravo à toute l'équipe.",2024-09-28,True,10,111
R00095,FoodDelivery,Livraison de repas,5,"Vraiment au top ! La livraison a été ultra rapide, en 24h. Merci pour cette belle expérience.",2024-04-28,True,6,93
R00096,FoodDelivery,Livraison de repas,2,Quelle déception... Produit reçu cassé et remboursement refusé. On m'avait pourtant recommandé cette entreprise.,2024-04-20,True,17,112
R00097,TravelEase,Voyages et hôtellerie,5,Vraiment au top ! Les frais de livraison sont raisonnables. Merci pour cette belle expérience.,2024-04-09,True,11,94
R00098,FashionLine,Mode et vêtements,4,"Super expérience, L'emballage était soigné. Le service client est réactif et professionnel.",2024-01-28,True,4,91
R00099,BankZen,Banque en ligne,2,Très déçu de mon expérience. L'application plante en permanence. Je ne recommande absolument pas.,2024-05-25,True,28,97
R00100,FoodDelivery,Livraison de repas,3,Service correct sans plus. Le produit fonctionne mais sans plus. Pas vraiment de quoi se plaindre mais rien d'extraordinaire non plus.,2025-03-17,True,2,134
R00101,BankZen,Banque en ligne,4,"Excellent service, je recommande vivement ! La livraison a été rapide et le produit correspond parfaitement à la description.",2025-02-19,True,9,125
R00102,TechBox,E-commerce électronique,5,Très satisfait de mon achat. Le rapport qualité-prix est imbattable. Je commanderai à nouveau sans hésiter.,2024-11-01,False,7,107
R00103,TravelEase,Voyages et hôtellerie,4,Une vraie bonne surprise ! Les frais de livraison sont raisonnables. Je le recommanderai à mes proches.,2024-10-28,False,9,103
R00104,TravelEase,Voyages et hôtellerie,5,Très satisfait de mon achat. L'application est fluide et intuitive. Je commanderai à nouveau sans hésiter.,2024-04-18,True,2,106
R00105,FashionLine,Mode et vêtements,3,Bon rapport qualité-prix mais L'emballage était basique mais protecteur. Quelques détails à améliorer.,2024-03-21,True,14,102
R00106,TravelEase,Voyages et hôtellerie,4,"Excellent service, je recommande vivement ! La livraison a été rapide et le produit correspond parfaitement à la description.",2024-12-27,True,14,125
R00107,TechBox,E-commerce électronique,5,Vraiment au top ! Le service client a répondu en moins d'une heure. Merci pour cette belle expérience.,2024-02-28,True,4,102
R00108,FoodDelivery,Livraison de repas,5,Très satisfait de mon achat. Le produit est de très bonne qualité. Je commanderai à nouveau sans hésiter.,2025-02-09,True,9,105
R00109,BankZen,Banque en ligne,2,Produit défectueux et impossible d'avoir un remboursement. Description du produit complètement trompeuse. Honteux.,2024-07-25,False,32,114
R00110,TravelEase,Voyages et hôtellerie,4,Très satisfait de mon achat. Le service client a répondu en moins d'une heure. Je commanderai à nouveau sans hésiter.,2025-01-11,True,8,117
R00111,TechBox,E-commerce électronique,1,Très déçu de mon expérience. Annulation impossible et prélèvements abusifs. Je ne recommande absolument pas.,2024-12-10,False,36,108
R00112,TechBox,E-commerce électronique,5,"Super expérience, Le rapport qualité-prix est imbattable. Le service client est réactif et professionnel.",2024-11-29,True,8,105
R00113,FashionLine,Mode et vêtements,5,Excellente qualité pour le prix. L'emballage était soigné. Je suis bluffé par la rapidité du service.,2024-08-28,True,10,101
R00114,FoodDelivery,Livraison de repas,5,"Super expérience, Le service client a répondu en moins d'une heure. Le service client est réactif et professionnel.",2024-12-21,True,12,115
R00115,TravelEase,Voyages et hôtellerie,1,Service catastrophique ! Le service client ne répond jamais aux mails. Je veux être remboursé immédiatement.,2024-05-09,True,49,108
R00116,BankZen,Banque en ligne,5,"Excellent service, je recommande vivement ! La livraison a été en 24h et le produit correspond parfaitement à la description.",2024-01-28,True,11,125
R00117,TravelEase,Voyages et hôtellerie,5,Une vraie bonne surprise ! Le produit est de très bonne qualité. Je le recommanderai à mes proches.,2024-05-16,True,9,99
R00118,BankZen,Banque en ligne,5,Une vraie bonne surprise ! L'emballage était soigné. Je le recommanderai à mes proches.,2024-11-18,True,7,87
R00119,FashionLine,Mode et vêtements,4,"Excellent service, je recommande vivement ! La livraison a été en 24h et le produit correspond parfaitement à la description.",2024-04-25,False,3,125
R00120,BankZen,Banque en ligne,5,"Super expérience, L'application est fluide et intuitive. Le service client est réactif et professionnel.",2024-05-29,True,8,104
R00121,BankZen,Banque en ligne,5,Une vraie bonne surprise ! Le service client a répondu en moins d'une heure. Je le recommanderai à mes proches.,2024-10-09,True,6,111
R00122,TravelEase,Voyages et hôtellerie,4,"Super expérience, La livraison a été ultra rapide, en 24h. Le service client est réactif et professionnel.",2025-01-30,False,13,106
R00123,FoodDelivery,Livraison de repas,5,"Vraiment au top ! La livraison a été ultra rapide, en 24h. Merci pour cette belle expérience.",2025-01-06,True,15,93
R00124,FashionLine,Mode et vêtements,4,"Une vraie bonne surprise ! La livraison a été ultra rapide, en 24h. Je le recommanderai à mes proches.",2024-10-09,True,12,102
R00125,BankZen,Banque en ligne,5,"Parfait du début à la fin. Le rapport qualité-prix est imbattable. Rien à redire, je suis client fidèle maintenant.",2024-07-15,True,13,115
R00126,TechBox,E-commerce électronique,4,Une vraie bonne surprise ! Le service client a répondu en moins d'une heure. Je le recommanderai à mes proches.,2024-12-05,False,4,111
R00127,BankZen,Banque en ligne,5,"Super expérience, Les frais de livraison sont raisonnables. Le service client est réactif et professionnel.",2024-02-21,False,14,107
R00128,TechBox,E-commerce électronique,4,Une vraie bonne surprise ! L'application est fluide et intuitive. Je le recommanderai à mes proches.,2024-03-14,True,4,100
R00129,TechBox,E-commerce électronique,4,Vraiment au top ! Le rapport qualité-prix est imbattable. Merci pour cette belle expérience.,2024-12-20,True,2,92
R00130,FoodDelivery,Livraison de repas,5,Excellente qualité pour le prix. L'application est fluide et intuitive. Je suis bluffé par la rapidité du service.,2025-01-02,False,15,114
R00131,TravelEase,Voyages et hôtellerie,1,Service catastrophique ! Produit reçu cassé et remboursement refusé. Je veux être remboursé immédiatement.,2024-11-19,True,18,106
R00132,FashionLine,Mode et vêtements,5,Excellente qualité pour le prix. Les frais de livraison sont raisonnables. Je suis bluffé par la rapidité du service.,2024-11-20,True,3,117
R00133,BankZen,Banque en ligne,2,Produit défectueux et impossible d'avoir un remboursement. Livraison en retard de 3 semaines sans aucune explication. Honteux.,2024-01-24,True,3,126
R00134,FoodDelivery,Livraison de repas,4,Excellente qualité pour le prix. Le produit est de très bonne qualité. Je suis bluffé par la rapidité du service.,2024-09-28,True,5,113
R00135,FashionLine,Mode et vêtements,3,Bon rapport qualité-prix mais Le service client met du temps à répondre. Quelques détails à améliorer.,2024-11-13,True,15,102
R00136,TravelEase,Voyages et hôtellerie,2,Service client incompétent. Description du produit complètement trompeuse. On perd son temps à les contacter.,2024-05-10,True,42,109
R00137,TechBox,E-commerce électronique,5,Une vraie bonne surprise ! L'application est fluide et intuitive. Je le recommanderai à mes proches.,2024-10-06,True,14,100
R00138,FoodDelivery,Livraison de repas,5,Vraiment au top ! L'application est fluide et intuitive. Merci pour cette belle expérience.,2024-05-08,True,9,91
R00139,FashionLine,Mode et vêtements,5,Une vraie bonne surprise ! Le produit est de très bonne qualité. Je le recommanderai à mes proches.,2024-07-14,True,9,99
R00140,FoodDelivery,Livraison de repas,1,Arnaque totale. Le service client ne répond jamais aux mails. N'achetez surtout pas chez eux.,2024-01-05,True,43,93
R00141,TechBox,E-commerce électronique,5,Une vraie bonne surprise ! Les frais de livraison sont raisonnables. Je le recommanderai à mes proches.,2025-02-13,True,11,103
R00142,FashionLine,Mode et vêtements,5,Vraiment au top ! L'application est fluide et intuitive. Merci pour cette belle expérience.,2024-02-19,False,1,91
R00143,FoodDelivery,Livraison de repas,5,"Excellent service, je recommande vivement ! La livraison a été en 48h et le produit correspond parfaitement à la description.",2024-03-08,True,9,125
R00144,FoodDelivery,Livraison de repas,5,"Super expérience, Le produit est de très bonne qualité. Le service client est réactif et professionnel.",2025-02-06,True,11,103
R00145,TravelEase,Voyages et hôtellerie,4,"Vraiment au top ! La livraison a été ultra rapide, en 24h. Merci pour cette belle expérience.",2025-04-12,False,15,93
R00146,FoodDelivery,Livraison de repas,5,"Rien à reprocher, tout s'est passé comme prévu. Le service client a répondu en moins d'une heure. Bravo à toute l'équipe.",2024-02-08,True,7,121
R00147,BankZen,Banque en ligne,5,"Rien à reprocher, tout s'est passé comme prévu. Les frais de livraison sont raisonnables. Bravo à toute l'équipe.",2024-07-21,True,3,113
R00148,BankZen,Banque en ligne,4,Vraiment au top ! Les frais de livraison sont raisonnables. Merci pour cette belle expérience.,2024-11-22,False,3,94
R00149,FashionLine,Mode et vêtements,4,"Rien à reprocher, tout s'est passé comme prévu. L'application est fluide et intuitive. Bravo à toute l'équipe.",2024-02-02,True,14,110
R00150,FoodDelivery,Livraison de repas,5,Très satisfait de mon achat. L'emballage était soigné. Je commanderai à nouveau sans hésiter.,2024-01-20,True,15,93
R00151,TechBox,E-commerce électronique,1,Quelle déception... Frais cachés non mentionnés au moment du paiement. On m'avait pourtant recommandé cette entreprise.,2024-08-20,True,47,119
R00152,TravelEase,Voyages et hôtellerie,4,"Super expérience, L'application est fluide et intuitive. Le service client est réactif et professionnel.",2024-02-20,False,13,104
R00153,FoodDelivery,Livraison de repas,1,Pire expérience d'achat. Produit reçu cassé et remboursement refusé. Je vais signaler à la répression des fraudes.,2024-08-15,True,15,114
R00154,FoodDelivery,Livraison de repas,1,Pire expérience d'achat. L'application plante en permanence. Je vais signaler à la répression des fraudes.,2025-04-06,False,22,106
R00155,TechBox,E-commerce électronique,4,"Parfait du début à la fin. Les frais de livraison sont raisonnables. Rien à redire, je suis client fidèle maintenant.",2025-02-25,True,6,117
R00156,TravelEase,Voyages et hôtellerie,5,"Excellent service, je recommande vivement ! La livraison a été en 48h et le produit correspond parfaitement à la description.",2024-03-05,False,6,125
R00157,TechBox,E-commerce électronique,5,"Parfait du début à la fin. Les frais de livraison sont raisonnables. Rien à redire, je suis client fidèle maintenant.",2025-03-21,True,4,117
R00158,TravelEase,Voyages et hôtellerie,1,Quelle déception... Produit reçu cassé et remboursement refusé. On m'avait pourtant recommandé cette entreprise.,2024-10-03,True,11,112
R00159,TechBox,E-commerce électronique,5,"Excellent service, je recommande vivement ! La livraison a été rapide et le produit correspond parfaitement à la description.",2024-07-02,False,7,125
R00160,TravelEase,Voyages et hôtellerie,4,"Super expérience, L'emballage était soigné. Le service client est réactif et professionnel.",2024-03-05,True,3,91
R00161,TechBox,E-commerce électronique,4,"Rien à reprocher, tout s'est passé comme prévu. Le service client a répondu en moins d'une heure. Bravo à toute l'équipe.",2024-09-14,True,1,121
R00162,TravelEase,Voyages et hôtellerie,4,"Excellent service, je recommande vivement ! La livraison a été très rapide et le produit correspond parfaitement à la description.",2025-03-09,True,3,130
R00163,BankZen,Banque en ligne,5,Une vraie bonne surprise ! L'emballage était soigné. Je le recommanderai à mes proches.,2024-06-13,True,2,87
R00164,FashionLine,Mode et vêtements,3,Pas mal dans l'ensemble. Le prix est dans la moyenne du marché. Je verrai si je récidive.,2024-10-07,True,12,89
R00165,TravelEase,Voyages et hôtellerie,4,Une vraie bonne surprise ! L'emballage était soigné. Je le recommanderai à mes proches.,2025-02-10,True,6,87
R00166,BankZen,Banque en ligne,4,"Parfait du début à la fin. La livraison a été ultra rapide, en 24h. Rien à redire, je suis client fidèle maintenant.",2025-02-27,True,13,116
R00167,TechBox,E-commerce électronique,4,"Rien à reprocher, tout s'est passé comme prévu. La livraison a été ultra rapide, en 24h. Bravo à toute l'équipe.",2024-03-19,True,15,112
R00168,TechBox,E-commerce électronique,1,Service catastrophique ! Livraison en retard de 3 semaines sans aucune explication. Je veux être remboursé immédiatement.,2024-08-09,True,47,121
R00169,FoodDelivery,Livraison de repas,5,"Excellent service, je recommande vivement ! La livraison a été en 48h et le produit correspond parfaitement à la description.",2024-03-03,True,13,125
R00170,TechBox,E-commerce électronique,5,Vraiment au top ! L'emballage était soigné. Merci pour cette belle expérience.,2024-10-22,True,4,78
R00171,BankZen,Banque en ligne,3,Service correct sans plus. Le produit fonctionne mais sans plus. Pas vraiment de quoi se plaindre mais rien d'extraordinaire non plus.,2025-03-08,True,3,134
R00172,FoodDelivery,Livraison de repas,5,Excellente qualité pour le prix. Le rapport qualité-prix est imbattable. Je suis bluffé par la rapidité du service.,2025-04-20,True,8,115
R00173,TechBox,E-commerce électronique,3,Pas mal dans l'ensemble. Le produit fonctionne mais sans plus. Je verrai si je récidive.,2025-04-16,True,0,88
R00174,FashionLine,Mode et vêtements,5,Excellente qualité pour le prix. Le produit est de très bonne qualité. Je suis bluffé par la rapidité du service.,2025-01-14,True,0,113
R00175,TechBox,E-commerce électronique,5,"Parfait du début à la fin. Le service client a répondu en moins d'une heure. Rien à redire, je suis client fidèle maintenant.",2024-08-20,True,11,125
R00176,FoodDelivery,Livraison de repas,5,Très satisfait de mon achat. Le produit est de très bonne qualité. Je commanderai à nouveau sans hésiter.,2024-03-21,True,1,105
R00177,TechBox,E-commerce électronique,3,Pas mal dans l'ensemble. Le service client met du temps à répondre. Je verrai si je récidive.,2024-09-05,True,13,93
R00178,FoodDelivery,Livraison de repas,3,Bon rapport qualité-prix mais L'emballage était basique mais protecteur. Quelques détails à améliorer.,2024-06-25,True,9,102
